Id,Address,Latitude,Longitude,Car
1,Avraama Linkol'na Street Lviv Lviv Oblast 79000,,,
2,Chernivetska St 11А Lviv Lviv Oblast 79000,,,
3,Chervonoyi Kalyny Ave 58Б Lviv Lviv Oblast 79000,,,
4,Chervonoyi Kalyny Ave 62 Lviv Lviv Oblast 79000,,,
5,Chyhyrynska St 31 Lviv Lviv Oblast 79000,,,
6,Dvirtseva Square Lviv Lviv Oblast 79000,,,
7,Dzherelna St Lviv Lviv Oblast 79000,,,
8,Fedkovycha St Lviv Lviv Oblast 79000,,,
9,Gnata Khotkevycha St 10 Lviv Lviv Oblast 79000,,,
10,Halytska Square 10 Lviv Lviv Oblast 79000,,,
11,Horodotska St 179 Lviv Lviv Oblast 79000,,,
12,Horodotska St 42 Lviv Lviv Oblast 79000,,,
13,Ivana Pidkovy Square 1 Lviv Lviv Oblast 79000,,,
14,Ivana Puliuia Street Lviv Lviv Oblast 79000, ,,
15,Kalnyshevs'koho St Lviv Lviv Oblast 79000, ,,
16,Khlibna St 1 Lviv Lviv Oblast 79000, ,,
17,Khlibna St 4 Lviv Lviv Oblast 79000, ,,
18,Kniazia Romana St 28 Lviv Lviv Oblast 79000, ,,
19,Knyahyni Ol'hy St 106 Lviv Lviv Oblast 79000, ,,
20,Kozelnytska St Lviv Lviv Oblast 79000, ,,
21,Liubinska St 160 Lviv Lviv Oblast 79000, ,,
22,Liubinska St 162 Lviv Lviv Oblast 79000, ,,
23,Liubinska St Lviv Lviv Oblast 79000, ,,
24,Liubinska St 168 Lviv Lviv Oblast 79000, ,,
25,Lviv 109 Strijska Street Barrier Lviv Lviv Oblast 79000, ,,
26,Lypova Aleya St 27 Lviv Lviv Oblast 79000, ,,
27,Lypynskoho St Lviv Lviv Oblast 79000, ,,
28,Majera Balabana St 24 Lviv Lviv Oblast 79000, ,,
29,Miskevycha Square 10 Lviv Lviv Oblast 79000, ,,
30,Mytropolyta Andreya St 14 Lviv Lviv Oblast 79000, ,,
31,Naukova St 2 Lviv Lviv Oblast 79000, ,,
32,Naukova St Lviv Lviv Oblast 79000, ,,
33,Palats Besyadetsʹkykh Halytska Square 10 Lviv Lviv Oblast 79000, ,,
34,Palats Spravedlyvosti Kniazia Romana St 1 Lviv Lviv Oblast 79000, ,,
35,Shchyretska Street Lviv Lviv Oblast 79000, ,,
36,Shevchenka Ave 10-12 Lviv Lviv Oblast 79000, ,,
37,Sichyns'koho St Lviv Lviv Oblast 79000, ,,
38,Smal-Stotskoho St 1 Lviv Lviv Oblast 79000, ,,
39,Smal-Stotskoho St 26 Lviv Lviv Oblast 79000, ,,
40,Storozhenka St 32 Lviv Lviv Oblast 79000, ,,
41,Striletska St 10 Lviv Lviv Oblast 79000, ,,
42,Stryiska St 104 Lviv Lviv Oblast 79000, ,,
43,Stryiska Street 199 Lviv Lviv Oblast 79000, ,,
44,Torfiana St 12 Lviv Львівська 79000, ,,
45,Torfiana St 19 Lviv Lviv Oblast 79000, ,,
46,Troleibusna St Lviv Lviv Oblast 79000, ,,
47,Truskavetska St 50 Lviv Lviv Oblast 79000, ,,
48,Truskavetska St Lviv Lviv Oblast 79000, ,,
49,Unnamed Road Lviv Lviv Oblast 79000, ,,
50,Valova St 2 Lviv Lviv Oblast 79000, ,,
51,Valova St 20 Lviv Lviv Oblast 79000, ,,
52,Viacheslava Chornovola Ave Lviv Lviv Oblast 79000, ,,
53,Virmens'ka St Lviv Lviv Oblast 79000, ,,
54,Volodymyra Korolenka St 9 Lviv Lviv Oblast 79000, ,,
55,Volodymyra Velykoho St 50 Lviv Lviv Oblast 79000, ,,
56,Volodymyra Velykoho St 58 Lviv Lviv Oblast 79000, ,,
57,Volodymyra Vernadskoho St Lviv Lviv Oblast 79045,,
58,Yuriya Lypy St 10 Lviv Lviv Oblast 79000, ,,
59,Zamarstynivska St Lviv Lviv Oblast 79000, ,,
60,Zamknena St 8 Lviv Lviv Oblast 79000, ,,
61,вул. Академіка Андрія Сахарова 46 Lviv Lviv Oblast 79000, ,,
62,вул. Пилипа Орлика 5 Lviv Lviv Oblast 79000, ,,
63,вул.Тракт Глинянський141 Lviv Lviv Oblast 79000, ,,
64,Вулиця Василя Стуса 55 Lviv Lviv Oblast 79000, ,,
65,ТЦ Forum Lviv 1 поверх Pid Dubom St 7 Б Lviv Lviv Oblast 79000,,,
